,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points
15,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010/0338,,1570-1700,oromiya,Bazen Agricultural & Industrial Dev't Plc,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10,9.33,8.5,87.83
16,Arabica,cqi q coffee sample representative,United States,el águila,,,unknown,coffee quality institute,meters above sea level: 2.080,antioquia,María Leticia Diosa,8,8.5,8.58,8.17,8.17,8,10,10,10,8.17,87.58
17,Arabica,grounds for health admin,Indonesia,toarco jaya,,,,,1200-1800m,sulawesi,P.T. Toarco Jaya,8.33,8.25,7.83,7.75,8.5,8.42,10,10,10,8.33,87.42
18,Arabica,ethiopia commodity exchange,Ethiopia,,,,010/0056,,,yirgacheffe,Green Gold Ethiopia | Phone: 0114342032,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10,9.33,8.83,87.33
19,Arabica,yunnan coffee exchange,China,echo coffee,YNC-06114,echo coffee mill,,yunnan coffee exchange,1450,yunnan,Echo Coffee,8.42,8.25,08.08,8.17,7.92,8,10,10,10,8.42,87.25
20,Arabica,essencecoffee,Ethiopia,drima zede,,drima zede,100181006,essence coffee,1700-2000m,gedio,LevelUp,8.17,8.17,8,8.17,08.08,8.33,10,10,10,8.33,87.25
21,Arabica,cqi q coffee sample representative,United States,el rodeo,,,unknown,coffee quality institute,meters above sea level: 2.019,antioquia,Nicolás Rueda Urrego,8,8.25,08.08,8.5,8.25,8,10,10,10,8.17,87.25
22,Arabica,the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,5-562-0015,the coffee source inc.,1300 msnm,san ramon,SEVERAL,08.08,8.25,8,8.17,8,8.33,10,10,10,8.33,87.17
23,Arabica,roberto licona franco,Mexico,la herradura,,la herradura,0,,1320,xalapa,ROBERTO LICONA FRANCO,8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,87.17
24,Arabica,cqi q coffee sample representative,United States,la curva,,,unknown,coffee quality institute,meters above sea level: 2.112,antioquia,Silvia Elena Higuita,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08
25,Arabica,ji-ae ahn,Ethiopia,,,,,,,sidamo,,8.42,8.17,7.92,8.17,8.33,8,10,10,10,08.08,87.08
26,Arabica,nucoffee,Brazil,fazenda kaquend,,,002/1251/0073,nucoffee,1250m,south of minas,Ralph Junqueira,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92
27,Arabica,ethiopia commodity exchange,Ethiopia,,,,010/0056/Sidamo,,,sidamo,Green Gold Ethiopia | Phone: 0114342032,7.83,8.25,08.08,8.17,8.17,8.17,10,10,10,8.25,86.92
28,Arabica,kabum trading company,Uganda,chebonet (23) women coffee,,kabum trading company,0,kabum trading company,1950,kapchorwa eastern,Kabum trading company,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83
29,Arabica,bismarck castro,Honduras,los hicaques,102,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,8.17,08.08,08.08,8,08.08,8,10,10,10,8.25,86.67
30,Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,Tsoustructive 2015 Sumatra Typica,tsoustructive garden 鄒築園,Taiwan,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",8,8,8,8.25,8,8.17,10,10,10,8.17,86.58
31,Arabica,nora zeas,Nicaragua,,,beneficio atlantic condega,790-0013,,,,,7.92,8.25,8,8.33,8,08.08,10,10,10,8,86.58
32,Arabica,specialty coffee-korea,"Tanzania, United Republic Of",,,,A019116,,,,,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5
33,Arabica,nucoffee,Brazil,fazenda recreio,,,002/1251/0068,nucoffee,1300,vale da grama,Homero Texeira de Macedo Junior,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42
34,Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,,"exclusive coffees s.a,",5818009,exclusive coffees s.a.,1300,west and central valley,Exclusive Coffees S.A.,8.17,7.83,8,08.08,7.83,8,10,10,10,8.42,86.33
35,Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,,faysal abamecha processing plant at yebu town,2014/15,haider abamecha coffee export,1750-1800,oromia,Haider Abamecha Abadiko,8,08.08,7.92,8,08.08,08.08,10,10,10,08.08,86.25
36,Arabica,daniel magu,Kenya,kangunu,,central kenya coffee mills,0,c dorman ltd,1800,muranga,Kangunu,08.08,8,8,8.25,7.92,7.92,10,10,10,08.08,86.25
37,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,220452,kona pacific farmers cooperative,,kona,,08.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25
38,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,HDOA 210128 Kona Fancy,,,kona,Kona Pacific Farmers Co-Op,8.25,8.42,08.08,7.75,7.67,7.83,10,10,10,8.25,86.25
39,Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",,,010/0170,,,yirgacheffe,Contact name | ATO Teshome Belamo,7.92,7.75,08.08,08.08,08.08,8.17,10,10,10,8.17,86.25
40,Arabica,cqi q coffee sample representative,United States,la primavera,,,unknown,coffee quality institute,meters above sea level: 1.941,antioquia,Hugo Sepúlveda Montoya,7.67,8.17,8,8,8.17,08.08,10,10,10,08.08,86.17
41,Arabica,itdp international,Thailand,co-op #12,,,01-011-512,lanna cafe,1300,chiang rai,ITDP,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17
42,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,cocarive,002/1352/0045,,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,8.17,7.92,7.92,7.75,8.33,8,10,10,10,08.08,86.17
43,Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,,cocarive,002/1352/0045,,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17
44,Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN 林言謙,08.08,8.17,7.75,08.08,7.75,7.83,10,10,10,8.42,86.08
45,Arabica,jungle estate,Kenya,jungle estate,,nkg coffee mills,NIL,keremara limited,1754,nyeri,JUNGLE ESTATE,08.08,08.08,8,8,7.83,08.08,10,10,10,8,86.08
46,Arabica,nucoffee,Brazil,fazenda kaquend,,,002/1251/0071,nucoffee,1250m,south of minas,Ralph Junqueira,8.33,8,8,8,7.75,8,10,10,10,8,86.08
47,Arabica,great lakes coffee uganda,Uganda,kaasayi,,great lakes coffee,0,ucda,,eastern uganda,Kaasay Farmer Group,08.08,08.08,7.83,7.92,08.08,7.92,10,10,10,08.08,86
48,Arabica,lusso lab,Colombia,ecobio colombia,,,NONE,lusso coffee lab,900-1500m,tolima,,7.75,7.92,7.83,08.08,08.08,8.17,10,10,10,8.17,86
49,Arabica,lusso lab,Kenya,kianjavi,,,NONE,lusso coffee lab,1520m-2200m,kiambu,,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86
50,Arabica,afca,Uganda,,,,x,kawacom uganda ltd,1400-1900m,"sipi, mt elgon",Kawacom,8.25,8,7.83,08.08,8,7.92,10,10,10,7.92,86
51,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,7.75,08.08,8,8.25,8,8,10,10,10,7.92,86
52,Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,,,,,1400ft,kona,Hula Daddy Kona Coffee,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86
53,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0252,beneficio ixchel,11/23/0252,"unex guatemala, s.a.",,nuevo oriente,MARGARITA AVILA DE NUYENS,7.92,08.08,7.92,08.08,08.08,7.83,10,10,10,8,85.92
54,Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,,kawacom,0,kawacom uganda ltd,1400-1900,eastern,Kawacom (U)Ltd,8.17,8.17,7.92,08.08,7.83,7.75,10,10,10,8,85.92
55,Arabica,exportadora de cafe condor s.a,Colombia,,,trilladora boananza,3-68-0215,exportadora de cafe condor s.a,1800 msnm,huila,,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92
56,Arabica,gonzalo hernandez,Panama,la berlina estate,Baby Geisha Washed,beneficio casa ruiz s.a.,,ce specialty s.a.,1600,boquete,Plinio Ruiz,8,8,7.92,08.08,7.83,8,10,10,10,8,85.83
57,Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,,,burka gudina,2014/2015,ibrahim hussien specality coffee product & exporter,1800-2000,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,7.83,08.08,7.92,08.08,8,7.92,10,10,10,8,85.83
58,Arabica,juan luis alvarado romero,Guatemala,valparaiso,,beneficio valparaiso,11/1886/03,sertrasa,5000,acatenango,SERTRASA,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83
59,Arabica,juan luis alvarado romero,Guatemala,finca el limon,,beneficio serben,11-853-155,unicafe,4650,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83
60,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,320,seid damtew coffee export and plantation,490,seid damtew coffee planation,,addis ababa,seid damtew coffee export and plantation,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75
61,Arabica,dane loraas,Peru,,,,030-0537-2066,sustainable harvest,,cajamarca,,8,8,8,08.08,7.92,7.75,10,10,10,8,85.75
62,Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,,baroida,25072012,cqi,1700 mts,eastern highlands province,"Colbran CoffeeLands, Ltd.",8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75
63,Arabica,atlantic specialty coffee,El Salvador,el majahual,,j. hill y cia,09 – 060-24,atlantic specialty coffee,1500 meters,apaneca,Aida Batlle,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58
64,Arabica,lusso lab,El Salvador,finca la esmeralda,,"aqua caliente, j.j. borja nathan. s.a",,lusso coffee lab,1300~1400 m.s.l,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58
65,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,220451,kona pacific farmers cooperative,,kona,,7.83,8,7.92,7.75,08.08,8,10,10,10,8,85.58
66,Arabica,essencecoffee,Panama,elida estate,,elida estate,290503,essence coffee,1680,boquete,Lamastus,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5
67,Arabica,essencecoffee,Kenya,inoi,,inoi,3707361715,essence coffee,1900m,kirinyaga,,7.92,7.92,7.83,08.08,7.83,7.92,10,10,10,8,85.5
68,Arabica,assefa belay coffee producer,Ethiopia,,,,2015,assefa belay coffee producer,1800-2000,oromia,Assefa Belay Coffee Producer,7.83,8,7.83,7.92,7.83,08.08,10,10,10,8,85.5
69,Arabica,kyagalanyi ltd,Uganda,buginyanya,,kyagalanyi coffee ltd,0,kyagalanyi coffee ltd,1600,bulambuli eastern region,Kyagalanyi coffee Ltd,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,08.08,85.5
70,Arabica,juan luis alvarado romero,Guatemala,asoperc,,beneficio exportacafe agua santa,11-52-492,exportcafe,5600-5760 metros,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5
71,Arabica,assefa belay coffee producer,Ethiopia,,,,2015,assefa belay coffee producer,1800-2000,oromia,Assefa Belay Coffee Producer,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,08.08,85.42
72,Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,,great lakes coffee,0,great lakes coffee,1950,kapchorwa,Chesiyo Farmer group,08.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42
73,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,220453,kona pacific farmers cooperative,,kona,,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42
74,Arabica,nucoffee,Brazil,fazenda serra de três barras,,,002/1251/0072,nucoffee,1250m,south of minas,José Vagner Ribeiro Junqueira,8,8,8,7.67,7.75,8,10,10,10,8,85.42
75,Arabica,grounds for health admin,El Salvador,sierra nevada,,beneficio las tres puertas,9-060-60D-L-1D,,1400 m,apaneca,J. Hill y Cia SA de CV,08.08,7.83,7.83,08.08,7.83,7.83,10,10,10,7.92,85.42
76,Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,YNC-16115,pu'er city longke coffee co.ltd,,yunnan coffee exchange,1700,yunnan,Pu'er City Longke Coffee Co.Ltd,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33
77,Arabica,essencecoffee,Guatemala,el injerto s.a.,,el injerto s.a.,11999144,essence coffee,1770,huehuetenango,Arturo Aguirre,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33
78,Arabica,the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,5-562-0006,the coffee source inc.,1300,west valley,Cafe Altura de San Ramon,7.92,08.08,8,7.92,8,08.08,10,10,9.33,8,85.33
79,Arabica,the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,5-562-0016,the coffee source inc.,1300 msnm,san ramon,SEVERAL,8,7.58,7.58,7.67,08.08,8.5,10,10,10,7.92,85.33
80,Arabica,rashid moledina & co. (msa) ltd.,Kenya,,,,37/672/0017,rashid moledina & co. (msa) ltd,above 1600 m,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,7.83,08.08,7.75,08.08,7.92,7.75,10,10,10,7.92,85.33
81,Arabica,ibero kenya limited,Kenya,,,nkg/ck/hc/ss/kccm,37/00597/0252 - AB FAQ Q certified,ibero kenya limited,above 1200 m,central kenya,Blend from various Producers,8,7.92,7.92,08.08,7.83,7.75,10,10,10,7.83,85.33
82,Arabica,ethiopia commodity exchange,Ethiopia,phone number | 0911-513824 email: gmt.ft,,,010/0157,,,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",7.83,7.83,7.92,08.08,7.75,7.83,10,10,10,08.08,85.33
83,Arabica,ethiopia commodity exchange,Ethiopia,,,,010/0001/0022,,,yirgacheffe,Contact name | Hailu Gebre Hiwot,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33
84,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0177,beneficio ixchel,11/23/0177,"unex guatemala, s.a.",,oriente,MARGARITA AVILA DE NUYENS,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25
85,Arabica,exportadora de cafe condor s.a,Colombia,various,,trilladora agricola,3-68-0102,exportadora de cafe condor s.a,1550 msnm,santander,varios,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25
86,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora boananza,3-79-0634,ecom cca sa,1550,santander,,7.58,08.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25
87,Arabica,"nomura trading co., ltd.",Indonesia,,,,,"nomura trading co., ltd.",1250-1400 meter,lintong,,7.75,7.83,7.67,8,08.08,7.83,10,10,10,8,85.17
88,Arabica,the coffee source inc.,Guatemala,coop. hoja blanca - fedecocagua,,coop. hoja blanca - fedecocagua,11-30-0593,the coffee source inc.,1400 msm,huehuetenango,Coop. Hoja Blanca - Fedecocagua,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17
89,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,,at site and addis ababa,495,seid damtew coffee planation,,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08
90,Arabica,carcafe ltda ci,Colombia,,,pasto,3-59-3115,carcafe ltda,2.560 msnm,pasto,JOSE ALBEIRO GOMEZ / LUIS JABER REALPE,8.17,7.83,7.58,08.08,8,7.75,10,10,10,7.67,85.08
91,Arabica,steven kil,Ethiopia,aricha coop,,aricha coop,,the specialty coffee appraisers institute of asia,1700,aricha,BNT,8.42,8,7.42,8,7.92,7.92,9.33,10,10,08.08,85.08
92,Arabica,eileen koyanagi,United States (Hawaii),,,,KP 022014,kona pacific farmers cooperative,,kona,,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08
93,Arabica,carcafe ltda ci,Colombia,,,,3-59-0951,carcafe ltda,2136 msnm,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,7.83,8,7.75,7.75,7.83,7.83,10,10,10,08.08,85.08
94,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,,,,kona,Kona Pacific Farmers Cooperative,08.08,8.17,7.92,8,08.08,8,9.33,9.33,10,8.17,85.08
95,Arabica,ethiopia commodity exchange,Ethiopia,,,,010/0058/Sidamo,,,sidamo,Exporter Name | Muluneh Kaka | Phone: 0114390290,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08
96,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona pacific farmers cooperative,HDOA 210310,,,kona,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08
97,Arabica,kyagalanyi coffee ltd,Uganda,mount elgon area,6133,kyagalanyi coffee ltd,,kyagalanyi coffee ltd,1800,eastern uganda,Kyagalanyi Coffee Ltd,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85
98,Arabica,racafe & cia s.c.a,Colombia,,3-37-1829,bachue,3-37-1829,racafe & cia s.c.a,,huila,La Plata,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85
99,Arabica,troy quimby,Costa Rica,estate la patricia,LP-C211-180,micro beneficio la cabaña-javier meza,,bold coast coffee,1900,tarrazu,Manuel Montero,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85
100,Arabica,"el equimite, cafetal biodinámico",Mexico,various,Mezcla Veracruz 01,"cafetal el equimite, rancho agroecológico",,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",1300,veracruz,Varios productores minifundistas,7.83,8,7.83,7.75,7.67,7.83,10,10,10,08.08,85
101,Arabica,simon mahinda,Kenya,,CN 11462 AA,ckcm,,c dorman ltd,-1,,,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85
102,Arabica,rashid moledina & co. (msa) ltd.,Kenya,machure estate,,,37/672/0016,rashid moledina & co. (msa) ltd,1580,central kenya,,7.75,7.83,7.75,08.08,8,7.75,10,10,10,7.83,85
103,Arabica,nucoffee,Brazil,sitío são geraldo,,,002/1251/0242,nucoffee,1100m,grama valley,Idalina M. De Andrade Ferreira,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85
104,Arabica,young kim,Mexico,kassandra,,,016-2484-04,,1400 masl,mexico,Finca Kassandra,7.92,8.17,7.75,08.08,7.42,7.83,10,10,10,7.83,85
105,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,HDOA#210306,,,kona,,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85
106,Arabica,carl walker,Guatemala,la igualdad,,concepcion,11-194-0014,,3500-5200 feet,"chuva, san marcos",Federico Weller,7.83,08.08,7.67,8,7.75,7.67,10,10,10,8,85
107,Arabica,racafe & cia s.c.a,Colombia,,3-37-0277,bachue,3-37-0277,racafe & cia s.c.a,,huila,La Plata,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92
108,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-4824,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92
109,Arabica,"lin, che-hao krude 林哲豪",Taiwan,baishengcun coffee 百勝村咖啡莊園,,baishengcun coffee 百勝村咖啡莊園,Taiwan,taiwan coffee laboratory,800 m,natou county,SU CHUEN SHIAN 蘇春賢,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92
110,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",hasambo amcos,,taylor winch (t) ltd,C47,taylor winch (t) ltd,1620m,mbeya,Hasambo AMCOS,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92
111,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0416,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,LA PLATA,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92
112,Arabica,artemio zapata tejeda,Mexico,el suspiro,,pacho viejo,1104385872,,1200,coatepec,ARTEMIO ZAPATA TEJEDA,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92
113,Arabica,nucoffee,Brazil,fazenda grota funda,,,002/1251/0070,nucoffee,1200m,south of minas,Glaucio Carneiro Pinto,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92
114,Arabica,nucoffee,Brazil,sitio claro,,,002/1251/0066,nucoffee,1000 m,south of minas,Ricardo Luiz Ferreira,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92
115,Arabica,brian speckman,Kenya,,,,37/00395/0335,,,,,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92
116,Arabica,"lin, che-hao krude 林哲豪",Taiwan,shi fang yuan 十方源,2016 Tainan Coffee Cupping Event Micro Lot 臺南市咖啡評鑑批次,shi fang yuan 十方源,Taiwan,taiwan coffee laboratory,350,"dongshan dist., tainan city 臺南市東山區",Wang Chao Yung 王超永,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83
117,Arabica,kawacom uganda ltd,Uganda,mt.elgon bugisu shamba 2,,kawacom,0,kawacom uganda ltd,1400-1900,eastern,Sipi organic coffee project,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83
118,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,220457,kona pacific farmers cooperative,,kona,,7.67,7.75,7.75,7.75,7.83,8,10,10,10,08.08,84.83
119,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83
120,Arabica,philip schluter,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83
121,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,MCTFHMG15/16,matsuzawa coffee,,matsuzawa coffee,,thailand,Matsuzawa Coffee,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75
122,Arabica,lydiah mwangi,Kenya,karatina,,sagana,KE 9143,c dorman ltd,1800,nyeri,KARATINA,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75
123,Arabica,cadexsa,Honduras,cerro bueno,,cadexsa,13-63-174,cadexsa,1450 msnm,marcala,Omar Acosta,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75
124,Arabica,the coffee source inc.,El Salvador,several,,la majada cooperative,9-29-1986,,1200 mts,santa ana,Several producers,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75
125,Arabica,grounds for health admin,Nicaragua,santa martha,,beneficio atlantic sebaco,1-053-0222,,800-1050m,jinotega,Juan Alvaro Munguia,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75
126,Arabica,consejo salvadoreño del café,El Salvador,monterrey,1-71,j.j. borja nathan,09-392-69,cafetalera del pacifico,1350,apaneca,J.J. Borja Nathan,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67
